City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Acri,IT,74.53,clear sky,39.4929,16.3838,HOTEL Restaurant Supersonik
3,Busselton,AU,63.09,overcast clouds,-33.65,115.3333,Observatory Guest House
9,Tucupita,VE,72.28,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
10,Butaritari,KI,83.79,few clouds,3.0707,172.7902,Isles Sunset Lodge
12,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Praia Da Vitoria,PT,71.76,few clouds,38.7333,-27.0667,Hotel Branco I
27,Conceicao Do Araguaia,BR,73.42,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
28,Porto Velho,BR,71.65,smoke,-8.7619,-63.9039,Hotel Central
29,Cape Town,ZA,71.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Dingle,PH,83.32,light rain,10.9995,122.6711,SEGAYA PROPERTY
32,Tura,IN,84.45,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
34,Daru,PG,77.27,overcast clouds,-9.0763,143.2092,Daru Lodge
39,Rikitea,PF,73.83,broken clouds,-23.1203,-134.9692,People ThankYou
40,Pontes E Lacerda,BR,74.97,clear sky,-15.2261,-59.3353,Hotel Bressan
41,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
43,Isangel,VU,70.03,overcast clouds,-19.55,169.2667,Tanna Lodge
45,Barrhead,GB,62.65,broken clouds,55.7992,-4.3929,The Gleniffer
47,Salinas,US,60.66,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
49,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
50,Airai,TL,64.8,overcast clouds,-8.9266,125.4092,Juvinal Martin
52,Standerton,ZA,84.61,clear sky,-26.9337,29.2415,Terrace Lofts
55,Vaini,TO,69.96,few clouds,-21.2,-175.2,Keleti Beach Resort
57,Peniche,PT,69.75,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
59,Kavaratti,IN,81.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Kapaa,US,74.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Atasu,KZ,62.44,few clouds,48.6814,71.6433,Dostyk
69,Faya,SA,78.62,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
70,Kavieng,PG,82.65,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
71,Georgetown,MY,89.55,scattered clouds,5.4112,100.3354,Cititel Penang
72,Guerrero Negro,MX,70.65,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
75,Poum,NC,71.53,broken clouds,-20.2333,164.0167,Gîte kajeon
79,Alyangula,AU,82.27,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
81,Port Macquarie,AU,64.36,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
82,Eyl,SO,89.4,overcast clouds,7.9803,49.8164,Amiin Hotel
85,Laguna,US,73.94,smoke,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
87,Vila Velha,BR,60.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
90,Tucurui,BR,71.33,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
91,Gat,IL,83.79,clear sky,31.61,34.7642,OlusHome
93,Isiro,CD,73.74,overcast clouds,2.7739,27.616,Guest House Hewa Bora
97,Korla,CN,75.36,clear sky,41.7597,86.1469,Gulisitan Hotel
98,Karratha,AU,80.08,clear sky,-20.7377,116.8463,ibis Styles Karratha
