City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Turukhansk,RU,65.8167,87.9833,42.21,64,7,13.06,clear sky
1,Nanortalik,GL,60.1432,-45.2371,36.19,53,0,4.25,clear sky
2,Acri,IT,39.4929,16.3838,74.53,32,0,5.55,clear sky
3,Busselton,AU,-33.65,115.3333,63.09,70,100,13.62,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,9.22,clear sky
5,Nikolskoye,RU,59.7035,30.7861,49.39,97,100,6.53,light rain
6,Kurya,RU,51.6003,82.2888,49.93,39,100,13.38,overcast clouds
7,Lebu,CL,-37.6167,-73.65,51.13,93,49,10.63,scattered clouds
8,Olafsvik,IS,64.8945,-23.7142,40.86,75,90,22.15,overcast clouds
9,Tucupita,VE,9.0622,-62.051,72.28,99,99,1.77,overcast clouds
10,Butaritari,KI,3.0707,172.7902,83.79,74,14,10.78,few clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,34.05,98,100,24.25,light rain
12,Carnarvon,AU,-24.8667,113.6333,73.47,56,40,17.27,scattered clouds
13,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,83,20,19.19,few clouds
14,Yellowknife,CA,62.456,-114.3525,45.41,100,20,10.36,few clouds
15,Ekhabi,RU,53.5102,142.9671,48.74,77,5,7.67,clear sky
16,Bluff,NZ,-46.6,168.3333,40.8,66,93,23.96,overcast clouds
17,Dikson,RU,73.5069,80.5464,36.57,88,100,19.93,overcast clouds
18,Yar-Sale,RU,66.8333,70.8333,41.92,54,15,8.41,few clouds
19,Filadelfia,US,39.9523,-75.1638,56.1,93,0,3.49,clear sky
20,Vardo,NO,70.3705,31.1107,47.41,88,100,12.01,overcast clouds
21,Kama,RU,56.3051,54.0936,50.4,62,100,8.03,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,35.26,87,40,8.05,light rain
23,Albany,US,42.6001,-73.9662,52.3,94,0,2.04,clear sky
24,Pevek,RU,69.7008,170.3133,28.44,95,100,16.75,light snow
25,Barrow,US,71.2906,-156.7887,15.82,86,1,6.91,mist
26,Iqaluit,CA,63.7506,-68.5145,22.73,85,20,2.3,few clouds
27,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.42,73,44,2.04,scattered clouds
28,Porto Velho,BR,-8.7619,-63.9039,71.65,94,40,2.3,smoke
29,Cape Town,ZA,-33.9258,18.4232,71.11,61,0,14.97,clear sky
30,Mahebourg,MU,-20.4081,57.7,77.29,57,20,16.11,few clouds
31,Dingle,PH,10.9995,122.6711,83.32,83,77,5.01,light rain
32,Tura,IN,25.5198,90.2201,84.45,84,51,1.19,broken clouds
33,Castro,BR,-24.7911,-50.0119,54.73,91,97,5.95,overcast clouds
34,Daru,PG,-9.0763,143.2092,77.27,93,97,14.94,overcast clouds
35,Saravan,AM,39.7196,45.6483,57.85,53,73,8.03,broken clouds
36,Srednekolymsk,RU,67.45,153.6833,34.95,76,100,12.3,overcast clouds
37,Tasiilaq,GL,65.6145,-37.6368,27.99,58,100,7.81,overcast clouds
38,Narsaq,GL,60.9167,-46.05,31.96,41,0,6.89,clear sky
39,Rikitea,PF,-23.1203,-134.9692,73.83,77,84,17.83,broken clouds
40,Pontes E Lacerda,BR,-15.2261,-59.3353,74.97,47,3,2.35,clear sky
41,Tautira,PF,-17.7333,-149.15,78.82,70,33,3.6,scattered clouds
42,Kenai,US,60.5544,-151.2583,37.15,92,100,7.7,overcast clouds
43,Isangel,VU,-19.55,169.2667,70.03,76,94,6.91,overcast clouds
44,Rio Grande,BR,-32.035,-52.0986,58.95,93,100,11.34,overcast clouds
45,Barrhead,GB,55.7992,-4.3929,62.65,90,75,1.99,broken clouds
46,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,6.91,overcast clouds
47,Salinas,US,36.6777,-121.6555,60.66,88,90,4.61,overcast clouds
48,Leningradskiy,RU,69.3833,178.4167,16.77,79,47,6.64,scattered clouds
49,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,69,20,4.61,volcanic ash
50,Airai,TL,-8.9266,125.4092,64.8,74,99,2.44,overcast clouds
51,Kohat,PK,33.582,71.4493,93.27,40,0,2.82,clear sky
52,Standerton,ZA,-26.9337,29.2415,84.61,16,7,3.11,clear sky
53,Thompson,CA,55.7435,-97.8558,41.16,100,90,2.3,overcast clouds
54,Kachiry,KZ,53.0675,76.1036,56.8,38,98,15.17,overcast clouds
55,Vaini,TO,-21.2,-175.2,69.96,78,20,10.36,few clouds
56,Bethel,US,41.3712,-73.414,56.48,92,90,0.0,mist
57,Peniche,PT,39.3558,-9.3811,69.75,90,8,9.48,clear sky
58,Oranjemund,NA,-28.55,16.4333,62.33,69,49,12.1,scattered clouds
59,Kavaratti,IN,10.5669,72.642,81.79,78,95,15.21,overcast clouds
60,Kapaa,US,22.0752,-159.319,74.19,77,74,3.0,light rain
61,Jamestown,US,42.097,-79.2353,56.71,97,62,1.99,broken clouds
62,Hobart,AU,-42.8794,147.3294,44.46,71,40,1.01,scattered clouds
63,Qaanaaq,GL,77.484,-69.3632,18.03,68,100,8.93,overcast clouds
64,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,45,14.14,scattered clouds
65,Atasu,KZ,48.6814,71.6433,62.44,12,24,6.29,few clouds
66,Mataura,NZ,-46.1927,168.8643,40.48,96,100,5.12,overcast clouds
67,Zhigansk,RU,66.7697,123.3711,38.14,72,88,12.71,overcast clouds
68,Provideniya,RU,64.3833,-173.3,31.69,89,100,13.49,overcast clouds
69,Faya,SA,18.3851,42.4509,78.62,21,91,8.3,overcast clouds
70,Kavieng,PG,-2.5744,150.7967,82.65,76,35,12.57,scattered clouds
71,Georgetown,MY,5.4112,100.3354,89.55,70,40,11.99,scattered clouds
72,Guerrero Negro,MX,27.9769,-114.0611,70.65,79,100,10.47,overcast clouds
73,Moba,CN,33.2288,105.0179,59.67,97,100,6.76,overcast clouds
74,Mar Del Plata,AR,-38.0023,-57.5575,52.12,64,0,0.0,fog
75,Poum,NC,-20.2333,164.0167,71.53,70,78,3.83,broken clouds
76,Lompoc,US,34.6391,-120.4579,57.51,97,90,1.01,mist
77,Bara,NG,10.3744,10.7288,82.13,68,81,8.61,broken clouds
78,Torbay,CA,47.6666,-52.7314,42.58,89,20,4.61,few clouds
79,Alyangula,AU,-13.8483,136.4192,82.27,57,8,10.36,clear sky
80,New Norfolk,AU,-42.7826,147.0587,44.1,66,33,1.99,scattered clouds
